0.00123834;0.130567;0.017842;0.00704022;0.0324816;1000
0.00465774;0.600214;0.100096;0.0358947;0.254593;2000
0.0104061;1.49379;0.275612;0.0897026;0.653355;3000
0.0182775;2.95034;0.534114;0.164846;1.23041;4000
0.0282989;5.07696;0.897853;0.264783;1.97537;5000
0.0403154;7.96718;1.38405;0.404783;2.9135;6000
0.0539705;13.3274;2.1297;0.608832;4.68309;7000
0.0723938;19.0047;3.06318;0.802122;6.3021;8000
0.0891812;25.1037;3.95962;1.03656;8.33141;9000
0.109877;32.0644;5.16695;1.33237;10.7206;10000
0.131811;42.0106;6.59532;1.68553;13.7451;11000
0.156039;58.0938;9.42999;2.18686;19.035;12000
0.187585;73.6817;11.2354;2.59035;22.6299;13000
0.217445;84.9323;13.8916;3.03954;26.2861;14000
0.24957;100.526;15.8077;3.6858;30.1686;15000
0.284538;113.666;17.6554;4.20337;35.1295;16000
0.322195;222.612;31.653;4.67686;41.1502;17000
0.386391;487.579;27.0783;11.9342;43.348;18000
0.400061;758.798;1243.71;606.468;2740.46;19000
1.70258;1045.59;2080.48;906.329;5349.36;20000
